Lab_ID,Sample_ID,Site,System_ID,SYSTEM,DEPT,depth_cm,Soil_classification,Soil_classification2,Corg_clay_ratio,CLAY_percent,SILT_percent,SAND_percent,pH,EC,Canorg,Corg,Ntot,Corg_stocks_kg_m2,Ntot_stocks_kg_m2,soilCN_ratio,DOC,DOC_stocks_g_m2,DOC_Corg_ratio,Agg,CEC,Al_Dithionite,Mn_Dithionite,Fe_Dithionite,Al_Oxalate,Mn_Oxalate,Fe_Oxalate,Oxalate_Oxides,Dithionite_Oxides,bulk_density,Fe_Di_div_Fe_Ox,Corg_stocks_kg_m2_cm,Ntot_stocks_kg_m2_cm,DOC_stocks_g_m2_cm,Log_Corg_stocks_kg_m2,Log_DOC_stocks_g_m2,Log_Ntot_stocks_kg_m2,Log_Corg_clay_ratio,Log_EC,Log_Agg,Soil_classification_num,Log_Corg_stocks_kg_m2_cm,Log_Ntot_stocks_kg_m2_cm,Log_DOC_stocks_g_m2_cm
1101,Man2_Ref_3 pool,Man2,Reference,1,3,15.00,Moderate,Fine,0.155926,29.886,41.483,28.631,7.605,153.800,1.814,4.660,0.380,8.668,0.707,12.26,340.774,63.384,0.007310,0.715,359.563,714.005,264.444,5887.623,2282.380,268.683,1385.944,3668.324,6601.628,1.240,4.248,0.578,0.047,4.226,0.938,1.802,-0.151,-0.807,2.187,-0.146,3.00,-0.24,-1.33,0.63
1110,Moos1_Ref_3 pool,Moos1,Reference,1,3,15.00,Moderate,Fine,0.140497,33.595,39.213,27.192,7.514,178.000,5.741,4.720,0.380,12.036,0.969,12.42,326.083,83.151,0.006910,0.711,313.598,338.971,208.083,3061.509,1143.492,115.826,1215.471,2358.963,3400.480,1.700,2.519,0.802,0.065,5.543,1.080,1.920,-0.014,-0.852,2.250,-0.148,3.00,-0.10,-1.19,0.74
1146,Schach1_Ref_3 pool,Schach1,Reference,1,3,15.00,Moderate,Fine,0.039337,28.726,41.996,29.278,7.954,152.400,0.088,1.130,0.090,1.678,0.134,12.56,101.125,15.017,0.008950,0.371,170.469,874.284,623.797,11437.146,1065.727,723.205,4051.189,5116.916,12311.430,0.990,2.823,0.112,0.009,1.001,0.225,1.177,-0.873,-1.405,2.183,-0.431,3.00,-0.95,-2.05,0.00
1155,Schach2_Ref_3 pool,Schach2,Reference,1,3,15.00,Fine,Fine,0.080723,47.818,32.472,19.710,7.880,155.500,0.195,3.860,0.350,5.385,0.488,11.03,306.663,42.780,0.007940,0.781,401.607,577.951,525.680,12248.696,1263.056,560.213,6653.324,7916.380,12826.647,0.930,1.841,0.359,0.033,2.852,0.731,1.631,-0.312,-1.093,2.192,-0.107,3.00,-0.44,-1.49,0.46
1173,Ther_Ref_3 pool,Ther,Reference,1,3,15.00,Moderate,Fine,0.283523,21.515,21.644,56.840,7.850,198.200,6.052,6.100,0.650,8.510,0.907,9.39,527.562,73.595,0.008650,0.894,351.925,680.425,387.845,7972.531,2598.574,223.788,1534.230,4132.804,8652.956,0.930,5.196,0.567,0.061,4.906,0.930,1.867,-0.042,-0.547,2.297,-0.049,3.00,-0.25,-1.22,0.69
1056,Fischa_Ref_3 pool,Fischa,Reference,1,3,15.00,Medium,Medium,0.081941,21.601,55.533,22.865,7.946,128.000,1.176,1.770,0.150,3.425,0.290,11.80,204.439,39.559,0.011550,0.328,191.166,614.973,416.863,7530.745,1411.372,441.022,1453.979,2865.351,8145.718,1.290,5.179,0.228,0.019,2.637,0.535,1.597,-0.538,-1.087,2.107,-0.484,2.00,-0.64,-1.71,0.42
1065,Grü_Ref_3 pool,Grü,Reference,1,3,15.00,Medium,Medium,0.068449,20.307,59.348,20.345,8.002,120.000,1.502,1.390,0.091,2.502,0.164,15.28,210.398,37.872,0.015140,0.351,181.400,646.825,302.312,8542.402,993.490,263.387,1379.463,2372.953,9189.227,1.200,6.193,0.167,0.011,2.525,0.398,1.578,-0.785,-1.165,2.079,-0.455,2.00,-0.78,-1.96,0.40
1083,Lack2_Ref_3 pool,Lack2,Reference,1,3,15.00,Medium,Medium,0.056107,25.309,35.150,39.542,7.744,119.500,0.000,1.420,0.120,2.066,0.175,11.83,127.611,18.567,0.008990,0.546,228.682,403.700,504.316,4951.548,719.221,645.195,2718.782,3438.003,5355.248,0.970,1.821,0.138,0.012,1.238,0.315,1.269,-0.757,-1.251,2.077,-0.263,2.00,-0.86,-1.94,0.09
1119,Ro1_Ref_3 pool,Ro1,Reference,1,3,15.00,Medium,Medium,0.099204,15.322,41.000,43.679,6.478,60.900,0.000,1.520,0.080,2.508,0.132,19.00,339.993,56.099,0.022370,0.579,103.418,475.970,393.282,5497.874,707.364,458.905,2396.810,3104.174,5973.844,1.100,2.294,0.167,0.009,3.740,0.399,1.749,-0.879,-1.003,1.785,-0.237,2.00,-0.78,-2.06,0.57
1128,Ro2_Ref_3 pool,Ro2,Reference,1,3,15.00,Medium,Medium,0.060933,22.894,54.088,23.018,6.896,87.000,0.104,1.395,0.084,2.909,0.175,16.61,274.775,57.291,0.019700,0.401,152.738,615.794,514.893,8473.959,901.316,539.097,3125.276,4026.592,9089.753,1.390,2.711,0.194,0.012,3.819,0.464,1.758,-0.757,-1.215,1.940,-0.397,2.00,-0.71,-1.93,0.58
1137,Sb_Ref_3 pool,Sb,Reference,1,3,15.00,Medium,Medium,0.109295,20.678,66.406,12.916,7.861,142.500,2.777,2.260,0.170,4.610,0.347,13.29,277.362,56.582,0.012270,0.461,218.970,395.092,250.263,6289.376,704.790,179.597,904.236,1609.026,6684.468,1.360,6.955,0.307,0.023,3.772,0.664,1.753,-0.460,-0.961,2.154,-0.336,2.00,-0.51,-1.64,0.58
1164,St_Ref_3 pool,St,Reference,1,3,15.00,Medium,Medium,0.074717,22.565,54.748,22.687,7.803,123.400,0.437,1.686,0.118,3.414,0.239,14.29,10.000,2.025,0.000590,0.535,174.341,637.459,342.187,6084.463,1152.517,328.472,1484.052,2636.569,6721.922,1.350,4.100,0.228,0.016,0.135,0.533,0.306,-0.622,-1.127,2.091,-0.272,2.00,-0.64,-1.80,-0.87
1182,Um_Ref_3 pool,Um,Reference,1,3,15.00,Medium,Medium,0.130700,23.642,50.998,25.360,7.628,131.000,0.000,3.090,0.220,3.662,0.261,14.05,342.359,40.570,0.011080,0.555,146.022,904.537,515.575,10541.688,1035.902,583.908,3058.041,4093.943,11446.225,0.790,3.447,0.244,0.017,2.705,0.564,1.608,-0.583,-0.884,2.117,-0.256,2.00,-0.61,-1.76,0.43
