,Unnamed: 0.2,SITE,SYSTEM,DEPT,Clay,Silt,Sand,pH,Aggregate Stability,Bulk Density,Organic Carbon,Dissolved Org. Carbon,Carbon-to-Nitrogen,Ergosterol,Microbial Carbon,Microbial Nitrogren,Microbial Phosphorus,Manosamine,Muramic Acid,Glucosamine,Sum Aminosugars,LAP,NAG,GLU,XYL,CEL,PHO,BoundingBox,LocationBBox,BoundingBoxObjects,BoundingBoxSize
126,126,Abs,0,35.0,2.7463263299186185,-0.1595584260658333,-1.2792084535433783,0.844205558641994,0.9168084309643456,-0.2436470259056327,0.2100280828833604,-0.9312600562156824,0.2223874419042927,-0.5265162439280694,0.2958848666556453,0.3765667053477773,-0.2126446096814691,-0.8478123283226191,0.0785283598719472,0.1056619235082516,0.0475601441125021,-0.3364938554972626,0.0874201371499839,0.374295227025857,0.5512359948840501,0.3090746475823985,-0.4742161972326392,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
127,127,Abs,1,35.0,1.7032895359860023,-0.3504194998065459,-0.602966594401058,0.7962202475425777,0.2624308991026597,-1.0489210945767888,1.4537638239223518,0.3775496395327174,2.050651707138512,-0.1538883874514574,1.5970014714444742,1.000334584369083,1.156741732533662,-0.8478123283226191,-0.1926323428533121,-0.4714781911901746,-0.4079185107313604,1.899318362650326,4.509270295302989,1.936409270764427,1.9055465862168768,2.4608768707573425,1.0230431363432917,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
128,128,Abs,2,35.0,2.701785813417617,-0.1407305854065648,-1.2707590379756466,0.8534335030841893,0.4556587937439739,0.9952361566653776,-0.7284646770090315,-1.4088003275141148,0.0982255425588074,-0.6255494024262787,-0.5615081025271137,-0.4895855445117992,-0.5058456413562019,-0.8478123283226191,-0.434297123173575,-0.3947451594116982,-0.4707791135887227,-0.0386640679230326,-0.1880291410540474,0.088141792118993,0.2424470956409583,0.219606985479116,-0.5612571389558922,"15.969363,48.405107,15.972641,48.406845 ",Abs,"[BBox(((15.969363, 48.405107), (15.972641, 48.406845)), crs=CRS('4326'))]","(4, 3)"
129,129,Au1,0,35.0,0.7133343394087337,-0.926327987127668,0.3377748142626013,0.9291026475101914,0.1792389175842165,0.2519062471227719,0.0023649864205708,-0.0321705288317457,-0.6233817047459695,-0.6008944461719465,0.1353458040041002,0.4818953636432656,0.0912765397733649,-0.8478123283226191,0.1380441951865102,0.0640324783214879,-0.0281999523940847,0.2957470689751368,1.0616475223970123,0.9476101549893182,1.44238848937757,1.234163577951351,0.6540396334712641,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
130,130,Au1,1,35.0,-1.0755291571958143,-1.294091902999918,1.528177046167872,-0.5547508187948438,0.7261190544485053,-0.491423662419835,0.7912913822182038,1.1678509901754786,-0.4717407791652501,-0.3728224658651851,0.3982499760662191,0.2304391285302118,-0.2481700309405109,-0.8478123283226191,0.3366857496824393,-0.1350970728162567,-0.061063244496479,0.8221590588981738,1.1009859659434056,1.0843233019700789,0.5835024424289178,0.673702643119557,0.3996625795314737,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
131,131,Au1,2,35.0,0.1889900648340454,-1.1223018217873724,0.7534681462397547,1.0859777030275164,-0.1707954503989029,1.6146777479508834,1.2028290867656564,-0.999829334705318,3.736644961293192,-0.6296080969917094,-0.3469359007025084,-0.3521869749582458,0.0939677360142543,-0.8478123283226191,-0.5799121801162517,-0.6929692863161329,-0.7298202541818827,0.0327528615793982,0.6164273367190302,0.7789129306366656,0.7324071926939522,0.2401975959919972,0.2814652129299385,"16.529000,47.930621,16.533941,47.932141",Au1,"[BBox(((16.529, 47.930621), (16.533941, 47.932141)), crs=CRS('4326'))]","(6, 3)"
132,132,Au2,0,35.0,-0.8516259427535672,-1.4419413826342036,1.5259875627463162,-0.0785888855775559,0.5598338155789847,0.685515361022626,0.1468668782042937,0.2077628004433726,-0.0143846757995375,-0.4982775712727965,-0.0223390234809396,-0.828162861134272,-0.2426291471756584,-0.8478123283226191,-0.7656372084281452,-0.9355852877514792,-0.904637964684589,-0.5856012815026662,-0.2075650440895269,-0.1340087579663958,-0.3890149827056715,0.0400222594231375,-0.4721856443529133,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
133,133,Au2,1,35.0,-0.9359434929476612,-1.408537573185316,1.5436775935727514,-0.2280815855411238,1.3079352328111054,-0.6772561398054868,0.6053002809045889,0.1007489868603535,-0.5300671791713558,-0.1721352883089366,-0.0284917683496261,-0.8775670133670083,-0.0224148394448941,-0.8478123283226191,1.2966012056921348,0.8289931149338661,0.937303055754354,0.412518588615608,0.6557827080473257,0.135359593750686,-0.1067561331613311,-0.040973779943242,1.1592599185767498,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
134,134,Au2,2,35.0,-1.1537947415274012,-1.401032723610138,1.649051459333821,-1.4793908519028334,-1.1897269109999604,1.800510225336535,-0.8666853076797157,-1.01189500418078,-0.4039667076843661,-0.4977370768956513,-1.0728604215728,-1.2590419266749475,-0.5132592545589054,-0.8478123283226191,-0.8006840578180381,-0.7069571305103738,-0.7994460677098847,-1.2445103791000514,-0.7908440640921196,-0.976565477655852,-0.7967908698000529,-0.7563033028541754,-0.2348605074140334,"16.569636,47.922123,16.574464,47.924409",Au2,"[BBox(((16.569636, 47.922123), (16.574464, 47.924409)), crs=CRS('4326'))]","(6, 4)"
135,135,Burg1,0,35.0,-0.4011156517014685,-0.5893720702120153,0.65075649327535,-0.3461992744012263,-0.5435938546499096,0.0660737697371201,-1.1060967260196115,-0.7947523839148672,0.443008238766077,-0.4513012008167868,-0.5248136317349852,-0.1299125453387057,0.3536095499922954,-0.8478123283226191,-0.3841433006643416,-0.4786811638016535,-0.4006594274299591,-0.4361859491793042,-0.2230359462186705,-0.0304245435124439,-0.222994885896834,-0.0576055324189567,0.4177699909142928,"15.587282,48.669695,15.594256,48.672060",Burg1,"[BBox(((15.587282, 48.669695), (15.594256, 48.67206)), crs=CRS('4326'))]","(9, 4)"
